nohup: ignoring input
[2026-01-25T09:22:40.581Z] [INFO] [STARTUP] Loaded environment with
[2026-01-25T09:22:40.582Z] [INFO] [STARTUP] PATH includes:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] API keys loaded:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] Voice App URL: http://localhost:3000
[2026-01-25T09:22:40.592Z] [INFO] ================================================================
[2026-01-25T09:22:40.592Z] [INFO] Gemini HTTP API Server
[2026-01-25T09:22:40.593Z] [INFO] ================================================================
[2026-01-25T09:22:40.593Z] [INFO] 
Listening on: http://0.0.0.0:3333
[2026-01-25T09:22:40.593Z] [INFO] Health check: http://localhost:3333/health
[2026-01-25T09:22:40.593Z] [INFO] 
Ready to receive Gemini queries from voice interface.

[2026-01-25T09:26:05.177Z] [INFO] [2026-01-25T09:26:05.177Z] GET /logs
[2026-01-25T09:26:05.590Z] [INFO] [2026-01-25T09:26:05.590Z] GET /logs
[2026-01-25T09:26:06.595Z] [INFO] [2026-01-25T09:26:06.595Z] GET /health
[2026-01-25T09:26:07.178Z] [INFO] [2026-01-25T09:26:07.178Z] GET /logs
[2026-01-25T09:26:07.592Z] [INFO] [2026-01-25T09:26:07.592Z] GET /logs
[2026-01-25T09:26:09.184Z] [INFO] [2026-01-25T09:26:09.184Z] GET /logs
[2026-01-25T09:26:09.220Z] [INFO] [2026-01-25T09:26:09.220Z] GET /health
[2026-01-25T09:26:09.609Z] [INFO] [2026-01-25T09:26:09.609Z] GET /logs
[2026-01-25T09:26:11.185Z] [INFO] [2026-01-25T09:26:11.185Z] GET /logs
[2026-01-25T09:26:11.633Z] [INFO] [2026-01-25T09:26:11.633Z] GET /health
[2026-01-25T09:26:11.654Z] [INFO] [2026-01-25T09:26:11.654Z] GET /logs
[2026-01-25T09:26:13.182Z] [INFO] [2026-01-25T09:26:13.182Z] GET /logs
[2026-01-25T09:26:13.671Z] [INFO] [2026-01-25T09:26:13.671Z] GET /logs
